source_file,activity,activity_label,session_id,reba_score,reba_risk_level,iso11228_total_score,iso_risk_level_th,A_trunk_neck,B_arm_shoulder_hand,C_force,D_frequency_duration,E_reach_tool_position,F_environment,sookta_score,label_source,notes
Calibtation.pdf,transplanting,การปลูกกล้า,activity_level,11,veryHigh,16,สูง,3,3,3,3,3,1,3,research_team_calibration_pdf_20260607,"Calibration PDF summary: REBA=11, ISO11228=16, SookTa=3. No Logistic Regression coefficients or daily treatment outcome labels are provided."
Calibtation.pdf,fertilizing,การใส่ปุ๋ย,activity_level,9,high,10,ปานกลาง,2,2,1,2,2,1,3,research_team_calibration_pdf_20260607,"Calibration PDF summary: REBA=9, ISO11228=10, SookTa=3. No Logistic Regression coefficients or daily treatment outcome labels are provided."
